sample_number,ID,species_or_type,sample_date,plot_name,phenophase,fractional_cover_class,Notes,geology,plot_type,LWC,CFR,chl_area,LMA,area(m2),LWC(mol.m-2),nitrogen,phosphorus,magnesium,potassium,calcium,sulfur,boron,iron,manganese,copper,zinc,aluminum,sodium,hemicellulose,cellulose,lignin,d13C,carbon,d15N,%N,phenolics,phenolics_%,sucrose_mg_g,glucose_mg_g,fructose_mg_g,sucrose_%,glucose_%,fructose_%,sugars,sugars_%,sample_month,pft
743,S328,Quercus agrifolia - Coast live oak,3/17/2022,DPA-020,"Early leaf out, Flowers",75-100% cover,,Qa,Tree,67.81,1.1,30.8,85.5181,0.007335289,10.001874,30.4,3.46,2.34,12.2,3,1.64,14.6,40.7,39,6.2,45.4,11.9,113.7,248,62,58,-23.88,511,1.03,3.34,153.2905,15.329,0,12.34,42.54,0,1.23,4.25,54.88,5.48,3,evergreen broadleaf
685,S331,Quercus agrifolia - Coast live oak,3/17/2022,DPA-022,Early leaf out,50-75% cover,,Tvqcg,Tree,67.28,0.91,18.6,79.7416,0.003602887,9.100851414,42.7,5.43,2.73,15.7,3.4,2.77,19.4,78.7,86.6,3.5,70.4,18.8,194.5,197.9,82,34.1,-22.6,506,2.44,3.91,120.8456,12.0846,5.19,17.99,48.23,0.52,1.8,4.82,71.41,7.14,3,evergreen broadleaf
686,S331,Quercus agrifolia - Coast live oak,3/17/2022,DPA-022,Full leaf out,50-75% cover,,Tvqcg,Tree,45.5,1.55,59.1,247.547,0.004711833,11.46981611,13.9,1.24,2.36,3.3,8,1.17,105.7,30.3,180.7,1.3,22.8,21.6,179.7,205.8,268,116.2,-24.37,516.2,1.98,1.66,66.9492,6.6949,12.09,7.24,24.04,1.21,0.72,2.4,43.37,4.33,3,evergreen broadleaf
314,S394,Frangula californica - California coffeeberry,3/23/2022,DPA-023,"Full leaf out, Flowers",75-100% cover,,Tm,Shrub,61.65,1.39,48.8,129.6861,0.007710156,11.57032336,17.7,2.03,8.93,3.6,23.2,1.12,26.1,71,268.9,8.8,12.6,52.6,538.9,107.7,68,76.3,-24.45,429.9,1.32,1.79,59.4535,5.9453,11.34,20.12,20.11,1.13,2.01,2.01,51.57,5.15,3,shrub
315,S397,Frangula californica - California coffeeberry,3/23/2022,DPA-024,"Full leaf out, Flowers",50-75% cover,,Tm,Shrub,61.61,1.21,37.4,103.9943,0.010246715,9.265710898,16.7,3.58,4.49,10.1,12.6,1.22,31.5,48.4,323.7,8.4,14.1,38,381.4,127.7,82,90.3,-24.46,487.5,0.4,2.37,48.5378,4.8538,1.34,0,3.13,0.13,0,0.31,4.47,0.44,3,shrub
318,S403,Rhamnus crocea,3/23/2022,DPA-025,"Full leaf out, Seeds",75-100% cover,,Tm,Shrub,59.27,1.3,43.4,100.8647,0.003909197,8.146348918,20.9,2.33,2.65,7.9,15.5,1.54,21.4,69,43.9,7.8,9.1,46,2162.2,57.9,98,196.1,-26.06,471.3,0.73,2.79,87.1459,8.7146,4.35,34.97,42.53,0.44,3.5,4.25,81.85,8.19,3,shrub
337,S406,Sambucus nigra - Black elderberry,3/23/2022,DPA-026,"Full leaf out, Flowers",75-100% cover,,Tm,Shrub,73.36,1.33,45.5,97.4029,0.004878705,14.89136386,24.6,2,8.32,22.6,14.9,2.14,90.5,73.4,23.4,10.8,13.4,73.9,952.5,103.9,114,62.1,-25.21,476.3,6.86,3.53,81.0377,8.1038,61.4,29.53,57.78,6.14,2.95,5.78,148.71,14.87,3,deciduous broadleaf
340,S409,Frangula californica - California coffeeberry,3/23/2022,DPA-027,"Early leaf out, Full leaf out",50-75% cover,,Tm,Shrub,59.58,1.4,49.7,168.6899,0.008708879,13.80517311,17.7,3.75,9.32,3.5,27.1,1.39,33.8,45.8,95.9,3.5,14.2,41.8,299.7,95.8,62,66.2,-25.55,465.5,0.36,2.24,51.9138,5.1914,1.31,0,0,0.13,0,0,1.31,0.13,3,shrub
353,S415,Hazardia squarrosa - Sawtooth goldenbush,3/23/2022,DPA-028,Full leaf out,10-25% cover,Petya ,Tm,Grassland,62.33,,40.3,133.5233,0.009272539,12.26557266,20.2,2.41,2.34,4.8,10.7,1.73,51.9,95.6,34.5,10.7,12.9,71.2,14003.9,147.8,122,40.2,-26.09,465.8,2.33,2.58,65.4211,6.5421,19.59,3.39,13.43,1.96,0.34,1.34,36.41,3.64,3,shrub
383,S427,Arctostaphylos purissima - La Purisima manzanita,3/24/2022,DPA-031,"Full leaf out, Flowers, Seeds",75-100% cover,,Tan,Shrub,47.65,1.17,34.9,223.3771,0.009526044,11.2876935,8.7,0.76,1.76,5.7,3.3,0.63,32.3,83.4,66.2,5.6,34.1,100.8,489.2,26,118,252,-24.76,563.1,-2.08,0.79,139.0767,13.9077,17.74,19.33,20.35,1.77,1.93,2.04,57.42,5.74,3,shrub
177,S433,Arctostaphylos purissima - La Purisima manzanita,3/24/2022,DPA-032,"Full leaf out, Flowers",50-75% cover,Alot of NPV,Tma,Shrub,49.65,1.25,40.1,215.4242,0.009732426,11.79150265,10.4,1.27,3.51,6.7,8.2,1.94,21.8,57.8,219.9,5.4,28.6,40.8,2439,53.9,124,216.1,-27.24,538.4,-1.78,1,143.642,14.3642,28.06,36.52,23.76,2.81,3.65,2.38,88.34,8.84,3,shrub
695,S604,Artemisia californica - California sagebrush,4/6/2022,DPA-034,Full leaf out,10-25% cover,,Qoa,Shrub,66.21,1.19,36.4,122.3387,0.002924667,13.30856304,23.1,2.52,2.38,12.3,6.3,2.04,24.6,67.3,225.7,2.6,21.4,42.6,12692.2,124,108,76,-25.66,484,1.85,2.08,47.5062,4.7506,15.36,2.48,21.64,1.54,0.25,2.16,39.48,3.95,4,shrub
698,S607,Artemisia californica - California sagebrush,4/6/2022,DPA-035,"Early leaf out, Full leaf out",10-25% cover,,Qoa,Shrub,66.76,1.17,34.9,132.7112,0.001791107,14.7922951,20.5,2.19,2.1,12.5,7.3,1.91,35.6,76.5,151.4,2,18.6,41.6,13147.3,121.9,100,54.1,-24.65,481.9,1.77,1.82,,,,,,,,,,,4,shrub
701,S607,Baccharis pilularis - Coyote brush,4/6/2022,DPA-035,Full leaf out,10-25% cover,,Qoa,Shrub,67.74,1.23,38.7,79.807,0.003310487,9.302728759,24.7,2.23,2.4,15.7,8.5,2.31,68,66.7,172.8,7.4,30.8,52.9,13451.7,135.9,122,118.1,-26.22,509.9,2.1,2.44,56.9012,5.6901,13.07,5.32,15.35,1.31,0.53,1.53,33.74,3.37,4,shrub
1743,S1514,Baccharis pilularis - Coyote brush,9/17/2022,DPA-035,"Full leaf out, Flowers, Seeds",10-25% cover,,Qoa,Shrub,60.06,,,119.3582,0.002352582,9.961829854,14.1,0.95,2.59,8.5,7.6,1.59,102.5,77.7,193.8,4,19.2,78,9831,117.7,96,116.3,-25.61,572.7,1.94,1.38,63.7422,6.3742,12.04,7.04,13.92,1.2,0.7,1.39,33,3.29,9,shrub
849,S751,Frangula californica - California coffeeberry,4/14/2022,DPA-036,"Early leaf out, Full leaf out",75-100% cover,,Tsq,Shrub,62.8,,,110.1065,0.013890188,10.31683674,18.1,3.73,5.14,6.7,19,1.35,22.9,42.2,155.3,11.7,10.1,27.9,235,119.9,78,102.1,-22.18,508.8,-0.22,1.88,50.7,5.07,0.11,1.59,2.72,0.01,0.16,0.27,4.42,0.44,4,shrub
850,S754,Salvia mellifera - Black sage,4/14/2022,DPA-037,"Full leaf out, Flowers",50-75% cover,,Tm,Shrub,63.98,,,141.0555,0.013387638,13.90506513,12.1,3.47,2.17,9.4,13,1.95,26.5,82.9,68.1,14.5,28.1,118.1,6692.5,144,148,138,-23.28,548.7,1.9,1.28,89.835,8.9835,0.64,13.76,14.4,0.06,1.38,1.44,28.8,2.88,4,shrub
845,S757,Lupinus arboreus,4/14/2022,DPA-038,"Full leaf out, Flowers, Seeds",25-50% cover,,Tm,Shrub,75.03,,,74.9778,0.006603288,12.5077515,36.8,3.03,7.42,4.8,19.9,1.72,15.6,99.4,94.7,14.1,24.4,62.8,2042.9,114.2,104,91.8,-25.67,497.1,0.42,4.17,14.0498,1.405,8.18,7.12,18.56,0.82,0.71,1.86,33.86,3.39,4,shrub
90,S760,Adenostoma fasciculatum,4/14/2022,DPA-039,"Full leaf out, Flowers",50-75% cover,Add common name on list for chamise,Tm,Shrub,38.78,,,375.4197,0.000879016,13.19821316,26.2,1.32,1.91,5.3,2.9,0.67,12.1,31.5,39.6,2.2,16.8,44.2,412.2,231.8,88,138.2,-27.41,554.3,0.56,0.95,149.7327,14.9733,6.5,17.25,4.88,0.65,1.72,0.49,28.63,2.86,4,shrub
876,S946,Platanus racemosa - California sycamore,5/6/2022,DPA-040,"Full leaf out, Seeds",75-100% cover,,Tml,Tree,55.6,1.33,45.4,110.8556,0.015991975,7.706474145,17.4,1.89,1.46,8,10.5,2.76,21.6,62.3,32.8,13.5,12.6,50.4,1163.6,144.1,216,193.9,-24.71,532.3,2.47,1.72,50.578,5.0578,0.33,18.19,31.31,0.03,1.82,3.13,49.83,4.98,5,deciduous broadleaf
877,S955,Salix lasiolepis - Arroyo willow,5/6/2022,DPA-041,Full leaf out,75-100% cover,,Tm,Tree,51.85,1.56,60,125.0978,0.007090452,7.476445252,19.4,2.52,2.73,10.2,8.7,2.25,31.6,31.1,18.8,15.8,104,14.7,206.4,18.1,114,227.9,-26.2,535.3,1.56,1.95,125.7512,12.5751,5.34,1.62,28.06,0.53,0.16,2.81,35.02,3.5,5,deciduous broadleaf
878,S964,Salix lasiolepis - Arroyo willow,5/6/2022,DPA-042,Full leaf out,75-100% cover,,Tm,Tree,56.89,1.52,57.2,114.3735,0.011210639,8.376920483,18.1,3.55,2.54,13.4,7.1,1.89,23,32.1,20.3,21.8,137.7,16.4,259.6,12,120,226,-26.39,546.3,-0.54,2.03,100.7362,10.0736,14.99,22.68,39.74,1.5,2.27,3.97,77.41,7.74,5,deciduous broadleaf
879,S967,Juglans californica - Southern California walnut,5/6/2022,DPA-043,"Full leaf out, Seeds",75-100% cover,Juglans,Qa,Tree,56.09,1.28,42,89.565,0.010962988,6.349930495,23,2.36,6.3,10.4,14.6,1.61,33.3,102.7,19.3,11.3,25,90.7,495.3,54.2,86,189.8,-25.38,523.6,4.26,2.66,115.436,11.5436,0.11,0,2.7,0.01,0,0.27,2.81,0.28,5,deciduous broadleaf
880,S970,Juglans californica - Southern California walnut,5/6/2022,DPA-044,"Full leaf out, Seeds",75-100% cover,Juglans,Qa,Tree,56.51,1.11,31.4,83.7481,0.010998458,6.040762777,20.4,3.26,4.14,15.4,9.4,2.04,30.6,48.3,20.5,14.5,23.5,27.9,178.8,60,98,212,-26.12,536.4,2.93,2.32,129.4473,12.9447,6.08,25.86,25.16,0.61,2.59,2.52,57.1,5.72,5,deciduous broadleaf
881,S973,Populus trichocarpa - Black cottonwood,5/6/2022,DPA-045,Full leaf out,75-100% cover,Fluffy seed heads on ground under tree,Kjss,Tree,63.32,1.39,49.3,68.4871,0.021072582,6.563888147,19.5,2.42,2.7,10.3,12.4,2.12,39.3,37.9,10.2,14.8,90.6,22.3,263,56.98,144,206.02,-26.85,542.6,0.64,2.14,70.1359,7.0136,2.28,24.86,21.2,0.23,2.49,2.12,48.34,4.84,5,deciduous broadleaf
882,S982,Leptosyne gigantea - Giant coreopsis,5/11/2022,DPA-046,"Full leaf out, Seeds, Early senescence, Full senescence",25-50% cover,,Tsq,Shrub,90.45,0.91,18.6,57.0152,0.001461014,29.96561705,,,,,,,,,,,,,,48,84,70,-26.04,395.6,1.01,1.66,32.8411,3.2841,0.24,14.59,24.77,0.02,1.46,2.48,39.6,3.96,5,shrub
980,S982,Artemisia californica - California sagebrush,5/11/2022,DPA-046,"Full leaf out, Flowers, Early senescence",10-25% cover,Foliage,Tsq,Shrub,62.58,1.18,36,128.5257,0.001412169,11.92992676,16.4,2.14,3.39,13.4,6.2,2.22,27.6,248.5,212,10.4,31.8,183.5,18311,102.2,110,85.8,-26.57,509.9,2.74,1.82,82.9601,8.296,16.46,5.61,18.14,1.65,0.56,1.81,40.21,4.02,5,shrub
981,S982,Leptosyne gigantea - Giant coreopsis,5/11/2022,DPA-046,Flowers,,FLOWERS ONLY,Tsq,Shrub,,,,,,,15.3,3.67,6.22,17.3,7.7,2.98,42.6,729.7,111.6,8.3,25.7,524.4,20123.9,135.8,236,90.2,-25.34,472.4,1.15,1.69,22.3991,2.2399,2.36,12.2,14.36,0.24,1.22,1.44,28.92,2.9,5,shrub
982,S982,Baccharis pilularis - Coyote brush,5/11/2022,DPA-046,Full leaf out,10-25% cover,,Tsq,Shrub,64.03,1.13,32.3,95.5349,0.003253261,9.439064379,20.1,1.66,3.36,14.9,8.2,2.64,61.2,134.2,295.7,14.2,32.2,76.4,15444.8,189.8,92,132.2,-27.54,549.4,1.91,2.48,56.5179,5.6518,19.23,7,17.1,1.92,0.7,1.71,43.33,4.33,5,shrub
988,S982,Artemisia californica - California sagebrush,5/11/2022,DPA-046,Flowers,,FLOWERS ONLY,Tsq,Shrub,60.25213501,0.94,20.8,,,,18,3.67,2.59,19.9,4.7,2.3,23.2,225.2,155,13.1,38.3,177.9,12043.6,153.9,116,110.1,-27.35,510.7,2.72,1.9,84.7289,8.4729,9.16,9.57,13.73,0.92,0.96,1.37,32.46,3.25,5,shrub
983,S988,Artemisia californica - California sagebrush,5/11/2022,DPA-047,,25-50% cover,,Tsq,Shrub,62.19,1.22,38.4,110.397,0.001174851,10.07798911,17.1,1.87,3.28,15.7,8.4,2.37,34.8,131.3,320.9,17.8,87.6,154.6,11877.8,170.2,98,91.8,-26.24,503.7,0.64,2.05,67.5028,6.7503,17.89,5.13,19.14,1.79,0.51,1.91,42.16,4.21,5,shrub
984,S988,Artemisia californica - California sagebrush,5/11/2022,DPA-047,Flowers,,,Tsq,Shrub,66.37558918,0.91,18.5,,,,20.5,3.63,2.63,20.5,4.1,2.05,29.1,80.1,94.4,15.2,39,70,6166.5,147.9,118,116.1,-26.08,504.1,1.88,1.97,89.3905,8.9391,14.87,15.12,22.53,1.49,1.51,2.25,52.52,5.25,5,shrub
985,S988,Baccharis pilularis - Coyote brush,5/11/2022,DPA-047,Full leaf out,10-25% cover,,Tsq,Shrub,62.05,1.26,41.1,114.0162,0.00339864,10.34682749,20.8,1.98,4.23,12.6,3.8,2.23,43,92.6,103.3,21.6,50.5,97,11916,180.1,102,79.9,-26.78,,0.4,,52.7974,5.2797,24.71,8.7,17.85,2.47,0.87,1.78,51.26,5.12,5,shrub
986,S994,Ericameria ericoides - California goldenbush,5/11/2022,DPA-048,"Full leaf out, Early senescence, Full senescence",50-75% cover,Ericameria,Qoa,Shrub,69.51,1.07,28.9,172.8249,0.000506293,21.87292656,17.5,2.49,2.83,13.9,7.2,1.61,31.1,65.9,968.5,19.1,34.8,56.3,16424.1,101.9,100,182.1,-23.8,521.4,1.68,1.39,115.8426,11.5843,31.58,4.22,15.7,3.16,0.42,1.57,51.5,5.15,5,shrub
1011,S997,Eucalyptus globulus - Blue gum,5/11/2022,DPA-049,Full leaf out,75-100% cover,,Qoa,Tree,49.91,1.45,52.7,266.8076,0.019934964,14.75572594,,,,,,,,,,,,,,136,120,190,-23.63,564.2,5.96,1.49,77.5847,7.7585,2.72,35.5,43.94,0.27,3.55,4.39,82.16,8.21,5,evergreen broadleaf
1081,S1138,Isocoma menziesii,5/19/2022,DPA-050,Full leaf out,50-75% cover,,Qoa,Shrub,77.43,1.56,59.6,147.2883,0.005420661,28.05437594,16.7,2.39,4.95,10.9,14.2,5.96,79,253.7,65.4,20.6,64.5,222.8,35347.7,211.7,100,64.3,,,,,20.6639,2.0664,9.24,7,11.76,0.92,0.7,1.18,28,2.8,5,shrub
1082,S1141,Rosa californica - California wild rose,5/19/2022,DPA-051,"Full leaf out, Flowers, Early senescence",50-75% cover,Rosa californica,Qoa,Shrub,56.98,1.12,31.9,65.6274,0.008174939,4.824421991,15,2.33,3.68,9,11.8,1.94,23.7,102.1,98.8,1.9,11.5,94,3782.1,172,70,24,-27.13,484.4,4,1.98,154.1026,15.4103,2.94,24.8,36.37,0.29,2.48,3.64,64.11,6.41,5,shrub
1083,S1141,Baccharis pilularis - Coyote brush,5/19/2022,DPA-051,"Full leaf out, Early senescence",10-25% cover,nq switched cfr and chl,Qoa,Shrub,68.36,1.23,38.9,92.4888,0.004307549,11.09013647,20.9,1.63,2.79,10.7,5.3,2.34,49,104.7,168.7,16,41.7,79.8,20188.1,177.9,100,110.1,-23.59,530.7,5.01,1.96,42.1904,4.219,16.98,12.41,49.17,1.7,1.24,4.92,78.56,7.86,5,shrub
1194,S1156,Frangula californica - California coffeeberry,5/20/2022,DPA-054,"Full leaf out, Flowers",50-75% cover,,Tml,Shrub,57.84,1.33,45.1,,,,20,2.08,2.6,6.3,11.5,1.27,18.8,53.4,68.9,2.6,16.7,41.5,378.2,104.1,86,93.9,-26.57,516.1,1.85,2.37,50.1548,5.0155,27.5,35.11,33.33,2.75,3.51,3.33,95.94,9.59,5,shrub
1094,S1159,Rhamnus crocea,5/20/2022,DPA-055,Full leaf out,75-100% cover,,Tml,Shrub,51.33,1.1,30.7,,,,16.3,1.48,1.72,7,19.5,1.08,23.8,57.9,29.1,1.7,15.3,40,1901,54.2,92,197.8,-28.59,482,0.32,1.74,101.0584,10.1058,2.79,31.55,37.45,0.28,3.15,3.74,71.79,7.17,5,shrub
1195,S1165,Frangula californica - California coffeeberry,5/20/2022,DPA-056,"Full leaf out, Flowers, Seeds",50-75% cover,,Tm,Shrub,59.34,1.38,48.5,121.5475,0.011812666,9.845625233,19.9,2.1,2.63,8.7,14.3,1.29,22.1,37.2,129.1,2,13.9,22.1,278.4,92,80,112,-27.39,496.9,0.39,2.24,49.2805,4.9281,15.86,31.98,29.7,1.59,3.2,2.97,77.54,7.76,5,shrub
1117,S1171,Lupinus excubitus - Grape lupine,5/20/2022,DPA-057,"Full leaf out, Flowers, Seeds, Early senescence",75-100% cover,,Tm,Shrub,70.41,1.27,41.4,99.7661,0.003359859,13.18070836,28.3,2.17,9.71,3.4,15.9,0.93,14.6,114.3,94.8,2.9,19.1,98.6,1432,125.8,88,70.2,-24.33,486.8,-0.22,3.4,60.2286,6.0229,14.32,7.58,15.42,1.43,0.76,1.54,37.32,3.73,5,shrub
1119,S1174,Salvia mellifera - Black sage,5/20/2022,DPA-058,"Full leaf out, Flowers, Early senescence",25-50% cover,,Tm,Shrub,56.31,1.09,30.3,,,,10.9,2.67,2.12,11.7,14.2,1.4,20.9,108,123.3,5.9,30.8,156.3,3556.1,91.8,182,98.2,-25.22,514.7,0.21,1.16,85.512,8.5512,9.29,19.51,18.77,0.93,1.95,1.88,47.57,4.76,5,shrub
